[5/13/2019 10:01:19 PM]  Processing new page                     http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
[5/13/2019 10:01:19 PM]  Processing new page                     http://books.toscrape.com/catalogue/the-requiem-red_995/index.html
[5/13/2019 10:01:19 PM]  Processing new page                     http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
[5/13/2019 10:01:20 PM]  Processing new page                     http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
[5/13/2019 10:01:20 PM]  Processing new page                     http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
[5/13/2019 10:01:20 PM]  Processing new page                     http://books.toscrape.com/catalogue/the-black-maria_991/index.html
[5/13/2019 10:01:20 PM]  Processing new page                     http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
[5/13/2019 10:01:20 PM]  Processing new page                     http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
[5/13/2019 10:01:20 PM]  Processing new page                     http://books.toscrape.com/catalogue/set-me-free_988/index.html
[5/13/2019 10:01:20 PM]  Processing new page                     http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
[5/13/2019 10:01:20 PM]  Processing new page                     http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
[5/13/2019 10:01:21 PM]  Processing new page                     http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
[5/13/2019 10:01:21 PM]  Processing new page                     http://books.toscrape.com/catalogue/olio_984/index.html
[5/13/2019 10:01:21 PM]  Processing new page                     http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
[5/13/2019 10:01:21 PM]  Processing new page                     http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
[5/13/2019 10:01:21 PM]  Processing new page                     http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
[5/13/2019 10:01:21 PM]  Processing new page                     http://books.toscrape.com/catalogue/page-2.html
[5/13/2019 10:01:22 PM]  Crawl Finished                          http://books.toscrape.com/
